"Vármegye, főváros",OEVK sorszáma,Székhelye,Külképviselet neve,Választópolgárok száma
BUDAPEST,01,Budapest V. kerület,Abu Dhabi,8
BUDAPEST,01,Budapest V. kerület,Amman,4
BUDAPEST,01,Budapest V. kerület,Ankara,6
BUDAPEST,01,Budapest V. kerület,Athén,17
BUDAPEST,01,Budapest V. kerület,Baku,2
BUDAPEST,01,Budapest V. kerület,Bangkok,8
BUDAPEST,01,Budapest V. kerület,Barcelona,29
BUDAPEST,01,Budapest V. kerület,Bécs,69
BUDAPEST,01,Budapest V. kerület,Bejrút,1
BUDAPEST,01,Budapest V. kerület,Belgrád,4
BUDAPEST,01,Budapest V. kerület,Beregszász,5
BUDAPEST,01,Budapest V. kerület,Berlin,101
BUDAPEST,01,Budapest V. kerület,Bern,101
BUDAPEST,01,Budapest V. kerület,Bogota,2
BUDAPEST,01,Budapest V. kerület,Brazíliaváros,3
BUDAPEST,01,Budapest V. kerület,Brüsszel,114
BUDAPEST,01,Budapest V. kerület,Buenos Aires,5
BUDAPEST,01,Budapest V. kerület,Bukarest,5
BUDAPEST,01,Budapest V. kerület,Canberra,1
BUDAPEST,01,Budapest V. kerület,Chicago,19
BUDAPEST,01,Budapest V. kerület,Chisinau,2
BUDAPEST,01,Budapest V. kerület,Csíkszereda,66
BUDAPEST,01,Budapest V. kerület,Doha,3
BUDAPEST,01,Budapest V. kerület,Dublin,19
BUDAPEST,01,Budapest V. kerület,Düsseldorf,53
BUDAPEST,01,Budapest V. kerület,Edinburgh,20
BUDAPEST,01,Budapest V. kerület,Gdansk,6
BUDAPEST,01,Budapest V. kerület,Genf,22
BUDAPEST,01,Budapest V. kerület,Hága,111
BUDAPEST,01,Budapest V. kerület,Hanoi,2
BUDAPEST,01,Budapest V. kerület,Helsinki,14
BUDAPEST,01,Budapest V. kerület,Ho Si Minh-város,2
BUDAPEST,01,Budapest V. kerület,Hongkong,2
BUDAPEST,01,Budapest V. kerület,Houston,9
BUDAPEST,01,Budapest V. kerület,Innsbruck,13
BUDAPEST,01,Budapest V. kerület,Isztambul,5
BUDAPEST,01,Budapest V. kerület,Jakarta,5
BUDAPEST,01,Budapest V. kerület,Kairó,1
BUDAPEST,01,Budapest V. kerület,Kassa,1
BUDAPEST,01,Budapest V. kerület,Kolozsvár,22
BUDAPEST,01,Budapest V. kerület,Koppenhága,35
