MEGYE,OEVK,SZEKHELY,KULKEPVISELET,VALASZTOK
BUDAPEST,01,Budapest V. kerület,Tirana,2
BUDAPEST,01,Budapest V. kerület,Chicago,15
BUDAPEST,01,Budapest V. kerület,Los Angeles,33
BUDAPEST,01,Budapest V. kerület,New York,71
BUDAPEST,01,Budapest V. kerület,San Francisco,28
BUDAPEST,01,Budapest V. kerület,Washington,11
BUDAPEST,01,Budapest V. kerület,Buenos Aires,4
BUDAPEST,01,Budapest V. kerület,Melbourne,11
BUDAPEST,01,Budapest V. kerület,Sydney,15
BUDAPEST,01,Budapest V. kerület,Bécs,76
BUDAPEST,01,Budapest V. kerület,Baku,1
BUDAPEST,01,Budapest V. kerület,Brüsszel,103
BUDAPEST,01,Budapest V. kerület,Szarajevó,2
BUDAPEST,01,Budapest V. kerület,Sao Paulo,1
BUDAPEST,01,Budapest V. kerület,Szófia,2
BUDAPEST,01,Budapest V. kerület,Santiago de Chile,1
BUDAPEST,01,Budapest V. kerület,Prága,10
BUDAPEST,01,Budapest V. kerület,Koppenhága,31
BUDAPEST,01,Budapest V. kerület,Pretoria,6
BUDAPEST,01,Budapest V. kerület,Abu Dhabi,13
BUDAPEST,01,Budapest V. kerület,Kairó,1
BUDAPEST,01,Budapest V. kerület,Addisz-Abeba,2
BUDAPEST,01,Budapest V. kerület,Helsinki,12
BUDAPEST,01,Budapest V. kerület,Párizs,63
BUDAPEST,01,Budapest V. kerület,Tbiliszi,3
BUDAPEST,01,Budapest V. kerület,Athén,4
BUDAPEST,01,Budapest V. kerület,Hága,85
BUDAPEST,01,Budapest V. kerület,Eszék,1
BUDAPEST,01,Budapest V. kerület,Zágráb,2
BUDAPEST,01,Budapest V. kerület,Újdelhi,4
BUDAPEST,01,Budapest V. kerület,Jakarta,3
BUDAPEST,01,Budapest V. kerület,Teherán,1
BUDAPEST,01,Budapest V. kerület,Dublin,24
BUDAPEST,01,Budapest V. kerület,Tel-Aviv,11
BUDAPEST,01,Budapest V. kerület,Tokió,10
BUDAPEST,01,Budapest V. kerület,Amman,3
BUDAPEST,01,Budapest V. kerület,Ottawa,8
BUDAPEST,01,Budapest V. kerület,Toronto,22
BUDAPEST,01,Budapest V. kerület,Doha,8
BUDAPEST,01,Budapest V. kerület,Asztana,2
BUDAPEST,01,Budapest V. kerület,Nairobi,1
BUDAPEST,01,Budapest V. kerület,Csungking,1
BUDAPEST,01,Budapest V. kerület,Hongkong,10
BUDAPEST,01,Budapest V. kerület,Peking,5
BUDAPEST,01,Budapest V. kerület,Sanghaj,1
BUDAPEST,01,Budapest V. kerület,Bogota,2
BUDAPEST,01,Budapest V. kerület,Szöul,2
BUDAPEST,01,Budapest V. kerület,Pristina,3
BUDAPEST,01,Budapest V. kerület,Kuvait,4
BUDAPEST,01,Budapest V. kerület,Krakkó,7
BUDAPEST,01,Budapest V. kerület,Varsó,6
BUDAPEST,01,Budapest V. kerület,Bejrút,2
BUDAPEST,01,Budapest V. kerület,Vilnius,2
BUDAPEST,01,Budapest V. kerület,Szkopje,2
