county,code,count
1,1,60377
1,2,70985
1,3,64964
1,4,72533
1,5,61299
1,6,74318
1,7,82280
1,8,78043
1,9,74939
1,10,72059
1,11,75954
1,12,72305
1,13,69460
1,14,74477
1,15,78736
1,16,69773
1,17,75296
1,18,76848
2,1,75260
2,2,75492
2,3,70514
2,4,75629
3,1,68322
3,2,72362
3,3,64580
3,4,71126
3,5,67782
3,6,64185
4,1,67454
4,2,68117
4,3,66787
4,4,70433
5,1,71183
5,2,71045
5,3,69809
5,4,73380
5,5,72099
5,6,75200
5,7,75007
6,1,78952
6,2,88501
6,3,79544
6,4,76981
7,1,60519
7,2,69686
7,3,77277
7,4,65630
7,5,66854
8,1,68143
8,2,72467
8,3,66450
8,4,76298
8,5,77343
9,1,64611
9,2,73414
9,3,77618
9,4,67447
9,5,69030
9,6,68896
10,1,80699
10,2,76340
10,3,79233
11,1,76664
11,2,70319
11,3,74079
11,4,72884
12,1,78549
12,2,81807
12,3,82131
13,1,74479
13,2,78070
14,1,87417
14,2,95656
14,3,92941
14,4,75517
14,5,98387
14,6,91222
14,7,91246
14,8,92331
14,9,76427
14,10,79125
14,11,89418
14,12,73850
15,1,60559
15,2,58656
15,3,61729
15,4,64207
16,1,72808
16,2,70396
16,3,76349
16,4,71614
16,5,72162
16,6,70896
17,1,58783
17,2,58166
17,3,58452
18,1,68128
18,2,67851
18,3,66059
19,1,70494
19,2,73554
19,3,66946
19,4,67979
20,1,73938
20,2,73719
20,3,71028
